test,iteration,female_coef,p_value
gender_permutation,0,0.043783854409413986,0.906316446763513
gender_permutation,1,-0.5351685096447296,0.11673747635124061
gender_permutation,2,-0.1019659336109856,0.7388620355694275
gender_permutation,3,0.14303840075710775,0.6482397626777658
gender_permutation,4,-0.08305280685889598,0.8173889195565296
gender_permutation,5,0.25855746689057824,0.44525047293562536
gender_permutation,6,0.06088198015505494,0.857932523692241
gender_permutation,7,0.28208091690153775,0.36558004855528425
gender_permutation,8,-0.343965909370888,0.3004752500279131
gender_permutation,9,-0.10330171410628772,0.7709507653132532
gender_permutation,10,-0.030822008249757782,0.9277005962370738
gender_permutation,11,0.09065621619617117,0.760472627622345
gender_permutation,12,-0.2484096950387838,0.45336070071324464
gender_permutation,13,0.030388561236107295,0.9262127739377001
gender_permutation,14,0.027985858613947437,0.9258581273475591
gender_permutation,15,0.3583767667303681,0.2892965433432416
gender_permutation,16,0.25344998005578934,0.4554635412859024
gender_permutation,17,-0.08000257808159827,0.8246558632085464
gender_permutation,18,-0.15666456025894354,0.6179062056129536
gender_permutation,19,-0.06996607400421301,0.8376538126139401
gender_permutation,20,-0.6150755143396633,0.06337034909608402
gender_permutation,21,-0.11601249014909791,0.7197339934108803
gender_permutation,22,-0.017616892389572092,0.9539035186111511
gender_permutation,23,0.121045464798966,0.7455868299161711
gender_permutation,24,-0.162030820022925,0.6296466733402692
gender_permutation,25,-0.31065228668327993,0.33019269665488504
gender_permutation,26,-0.22910371490596032,0.49637153831960357
gender_permutation,27,0.10473380240154341,0.726132060665031
gender_permutation,28,0.39811291749666167,0.22427906258762909
gender_permutation,29,0.29578753421548276,0.36911522839393507
gender_permutation,30,0.27601636136447305,0.4102262603669232
gender_permutation,31,-0.5507258167548379,0.1544532527126231
gender_permutation,32,0.011496756999178293,0.9736117555135095
gender_permutation,33,-0.12684169728112546,0.7057467669867434
gender_permutation,34,0.4663182169919283,0.1363238170571215
gender_permutation,35,-0.28462147426143214,0.4235033786349467
gender_permutation,36,-0.2851383604539403,0.40049000833975223
gender_permutation,37,0.16199382010426025,0.6048702048922895
gender_permutation,38,0.03579851153409436,0.9144385260137228
gender_permutation,39,0.061440415980863,0.8480115510281798
gender_permutation,40,0.5489463369924203,0.08918630863666649
gender_permutation,41,0.6535463522421667,0.0699133749273295
gender_permutation,42,-0.07894742752521271,0.7962243672994506
gender_permutation,43,-0.26012769536368385,0.43790577274451203
gender_permutation,44,-0.5026200034555812,0.11431797629070503
gender_permutation,45,-0.16954831261664507,0.663909079236989
gender_permutation,46,0.17401428530722438,0.6299773755227953
gender_permutation,47,-0.19600449628824987,0.563179577793776
gender_permutation,48,-0.22397873641387994,0.48610521216122526
gender_permutation,49,0.025982400670192002,0.9357438364965174
gender_permutation,50,-0.5313799122236955,0.11806146567717747
gender_permutation,51,-0.10993139282392184,0.7260900173576527
gender_permutation,52,-0.8822823306985637,0.01633463938281069
gender_permutation,53,0.34202320135977826,0.27178216426391955
gender_permutation,54,-0.14067928056866194,0.6521122080964754
gender_permutation,55,-0.4156888323981188,0.2599314136221248
gender_permutation,56,-0.24278416290658747,0.5150661206042081
gender_permutation,57,-0.17167908315520164,0.6196193233041575
gender_permutation,58,0.22653462754562725,0.5003117210733424
gender_permutation,59,0.06332337156942441,0.8403953828438744
gender_permutation,60,-0.03968704260620568,0.9033590991672621
gender_permutation,61,0.0763463746096799,0.8276980505426401
gender_permutation,62,0.27298285815986756,0.346042257901769
gender_permutation,63,-0.1829989049043204,0.5793260501920516
gender_permutation,64,-0.524435467158363,0.11209457284439715
gender_permutation,65,-0.2308459263094753,0.4886703594211982
gender_permutation,66,-0.2648312013595209,0.4438426425295239
gender_permutation,67,-0.2847943094389083,0.3914449783517613
gender_permutation,68,0.5390819177212025,0.09595946389389645
gender_permutation,69,0.12376016862362,0.7022914926720489
gender_permutation,70,-0.02729452244233934,0.9384453398280894
gender_permutation,71,0.4022022702151903,0.18115118286735354
gender_permutation,72,-0.2298985606421856,0.46438340672002587
gender_permutation,73,0.5680404974139693,0.08493635233279916
gender_permutation,74,-0.34684584915812244,0.27025138683839234
gender_permutation,75,0.07367330699204659,0.8156559710881073
gender_permutation,76,0.4108882883845729,0.1979743474123713
gender_permutation,77,-0.07566425176427974,0.8243061935110726
gender_permutation,78,-0.3636108345624094,0.29709508841264987
gender_permutation,79,-0.22053755207914924,0.5181710388896406
gender_permutation,80,0.3154017099302485,0.36755060105776827
gender_permutation,81,0.3104252062036183,0.3782728591863017
gender_permutation,82,0.506380769339731,0.09221531303234448
gender_permutation,83,0.02016778392506447,0.9445574028184338
gender_permutation,84,0.1347337357833951,0.6660338502112197
gender_permutation,85,0.44669438541849255,0.16966977005168604
gender_permutation,86,0.5615498600486268,0.07347992445565456
gender_permutation,87,0.7984391550907843,0.03464883034950736
gender_permutation,88,0.6994781845472593,0.03588004349571896
gender_permutation,89,-0.139119856690109,0.651352241848603
gender_permutation,90,-0.173677691920623,0.5961247157169268
gender_permutation,91,0.23077130707506505,0.4641168592649261
gender_permutation,92,-0.7331182709898174,0.01220903066283818
gender_permutation,93,0.2252037219447625,0.46123070639892183
gender_permutation,94,-0.5584215172379209,0.09658321119225075
gender_permutation,95,0.066858132294855,0.8268403723392879
gender_permutation,96,-0.00041202095635374525,0.9990419382016
gender_permutation,97,-0.03656379253873501,0.9033475206879782
gender_permutation,98,-0.5330826260300245,0.0691374165651524
gender_permutation,99,-0.2273261738354203,0.5130211079170379
gender_permutation,100,0.011760513371995823,0.9719304382236403
gender_permutation,101,-0.20785435602436603,0.5419665985843288
gender_permutation,102,0.5019833046582713,0.17235805079765976
