model,n_years,mean_rmse,mean_mae,mean_r2,mean_spearman_pred_actual,mean_pearson_pred_actual,mean_residual_sd,delta_rmse_vs_baseline
baseline_formula,4,8.70133490951735,4.5830672562099775,0.6492585240492128,0.6503498639651528,0.8388753073582411,8.457273975410914,0.0
hist_gbdt,4,8.007452564207371,5.143571312600201,0.7093064289733657,0.5805335661739002,0.8704234458225596,7.414192914826598,-0.6938823453099783
linear_fe_ridge,4,8.898971010108381,5.204870361586903,0.6452561323407292,0.5601283361068449,0.816365863199751,8.832985847464379,0.19763610059103165
random_forest,4,7.420576698748007,4.402660350748953,0.7529514755263597,0.6398569095671797,0.875676212017068,7.296714539721509,-1.280758210769343
