expected_decile,n,expected_mean,actual_mean,residual_mean,residual_sd
"(0.023899999999999998, 0.33]",1713,0.24631066509796798,0.3253440125984971,0.07903334750052918,1.3623559797180096
"(0.33, 0.45]",720,0.38731082068730044,0.429596254327516,0.042285433640215565,1.2703546754874246
"(0.45, 0.624]",1206,0.5665425259116253,0.5728840170803859,0.006341491168760612,1.2252599987640667
"(0.624, 0.941]",1214,0.7841264537225926,0.9170511562434593,0.13292470252086672,2.811667499413941
"(0.941, 1.216]",1266,1.0942436544556169,1.0008557209074886,-0.0933879335481282,2.682495760149423
"(1.216, 1.614]",1276,1.4147878978213906,1.0979422134550467,-0.3168456843663439,2.1937856529189954
"(1.614, 3.477]",1094,2.472359237390891,2.263811713631368,-0.20854752375952276,4.2223139699278045
"(3.477, 22.651]",1222,9.366553072351977,9.03999463874676,-0.3265584336052138,9.480325196192112
"(22.651, 40.927]",1204,31.798674585624966,28.84279997233368,-2.9558746132912854,13.104581001793253
"(40.927, 77.159]",1213,47.708742263080794,41.83855555488477,-5.870186708196024,11.421605102087106
