estimand,observed,bootstrap_mean,bootstrap_sd,ci_2_5,ci_97_5,pr_gt_0,observed_se_hc3,observed_p_hc3
female_capability_coef,-0.5442096065905037,-0.3039976880401339,0.5767449665161335,-1.4568799229251999,0.6061851161707154,0.34,0.3801004173084942,0.1522147530895269
winnable_capability_gap,-0.10901204326531211,0.7424621153522437,5.925357635011224,-8.335076657873039,12.108172891020113,0.5,,
calibration_slope,0.8846023290389167,0.7711281453504862,0.020921728475154708,0.7298854551981007,0.8062922978897211,1.0,,
calibration_r2,0.8223813152138706,0.6029128345439191,0.015773838045776152,0.5641094942418389,0.6283871938257055,1.0,,
