scenario,n,n_fuzzy,female_coef,female_se_hc3,female_p_value,female_ci_lower,female_ci_upper,coef_change_from_exact
exact_match_main,7812,0,-0.5442096065905037,0.3801004173084942,0.1522147530895269,-1.2891927350237973,0.20077352184278996,0.0
exact_plus_fuzzy_score_ge_0.98,7884,72,-0.5666444304108796,0.3781541816149448,0.13401685673005043,-1.30781300697939,0.1745241461576308,-0.022434823820375982
exact_plus_fuzzy_score_ge_0.97,8033,221,-0.5971375151071464,0.37785715665934166,0.11403221272886889,-1.3377239334601652,0.14344890324587234,-0.05292790851664275
exact_plus_fuzzy_score_ge_0.95,8207,395,-0.6764711203081019,0.3787778438292092,0.07411041939708526,-1.418862052355089,0.06591981173888539,-0.1322615137175982
exact_plus_fuzzy_score_ge_0.94,8256,444,-0.6542148270964165,0.37876919735155307,0.08412953762652635,-1.3965888123586045,0.08815915816577147,-0.11000522050591288
