,0
n_total,24380
n_female,1798
female_pct,7.4
years_covered,"[2004, 2009, 2014, 2019]"
female_pct_by_year,"{2004: np.float64(6.6), 2009: np.float64(6.6), 2014: np.float64(7.9), 2019: np.float64(8.5)}"
