Model,Variable,Coef,SE,CI_lower,CI_upper,p_value,N,R2
Bivariate,Female,-0.6087480186871166,0.40590347168389596,-1.4043042043873264,0.1868081670130931,0.13368282072787618,7639,0.00040260424168414577
+ Year FE,Female,-0.6218040267650857,0.4040396574234722,-1.4137072036409926,0.17009915011082122,0.12381215498797979,7639,0.014271162270677928
+ Criminal + Assets,Female,-0.6067239441492823,0.4056766781025307,-1.4018356225980915,0.1883877342995267,0.13476184115634252,7639,0.00044025532888369856
Full controls,Female,-0.5983156865076386,0.40343508816533413,-1.3890339294114349,0.19240255639615778,0.13806028466701056,7639,0.01557833125902075
Full (excl. single-candidate),Female,-0.550420288639966,0.4029343169168543,-1.3401570379322485,0.2393164606523167,0.1719296068477858,7458,0.014017863336879377
