,0
overall_r2,0.8047028188475897
n_total,12128.0
mean_residual,-0.9477482735592959
sd_residual,6.83582098015315
median_residual,-0.27070829441443844
iqr_low,-1.0851194489518146
iqr_high,0.12298452358709888
r2_2004,0.9023574572883504
n_2004,5435.0
r2_2009,0.6970583207738363
n_2009,6693.0
r2_2009_party_constituency,0.7961036646691436
n_2009_party_constituency,4433.0
r2_2009_state_level_fallback,0.4504973188056304
n_2009_state_level_fallback,2260.0
regression_beta,0.8846023290389167
regression_beta_se,0.005945875167286616
regression_intercept,0.1544056047969838
regression_intercept_se,0.038349508318604064
regression_r2,0.8223813152138706
