test_year,model_a,model_b,spearman_residual_r,pearson_residual_r,top_decile_overlap,n_common
2004,baseline_formula,linear_fe_ridge,0.3805581662113217,0.350854821192539,0.4990825688073395,5446
2004,baseline_formula,random_forest,0.45509856663879955,0.3920140604668923,0.4990825688073395,5446
2004,baseline_formula,hist_gbdt,0.4474482750799157,0.3677037448582967,0.5064220183486239,5446
2004,linear_fe_ridge,random_forest,0.7755600454357966,0.7620555916507209,0.744954128440367,5446
2004,linear_fe_ridge,hist_gbdt,0.7694958940279898,0.7664008303503775,0.7211009174311926,5446
2004,random_forest,hist_gbdt,0.9365120042979005,0.9648981344739028,0.8917431192660551,5446
2009,baseline_formula,linear_fe_ridge,0.36895244149942524,0.45528347401799435,0.553770086526576,8086
2009,baseline_formula,random_forest,0.4047758384644218,0.4775678328924103,0.5599505562422744,8086
2009,baseline_formula,hist_gbdt,0.35672913779604565,0.44267758511832667,0.5451174289245982,8086
2009,linear_fe_ridge,random_forest,0.8037585121525058,0.8239257868265719,0.8318912237330037,8086
2009,linear_fe_ridge,hist_gbdt,0.7280079896489355,0.7654324153332601,0.754017305315204,8086
2009,random_forest,hist_gbdt,0.8420107783429632,0.9323863658248376,0.8454882571075402,8086
2014,baseline_formula,linear_fe_ridge,0.41716612939252473,0.5452970124413181,0.6283292978208233,8251
2014,baseline_formula,random_forest,0.47539346190723497,0.5687174061816684,0.6368038740920097,8251
2014,baseline_formula,hist_gbdt,0.4593955181888494,0.5603564456093793,0.6065375302663438,8251
2014,linear_fe_ridge,random_forest,0.8185177956962755,0.8488091973087974,0.8184019370460048,8251
2014,linear_fe_ridge,hist_gbdt,0.828420555738126,0.7951324987279531,0.7409200968523002,8251
2014,random_forest,hist_gbdt,0.8868584589156695,0.9290104246461425,0.837772397094431,8251
2019,baseline_formula,linear_fe_ridge,0.43928377345500685,0.5369457021779627,0.6869565217391305,8048
2019,baseline_formula,random_forest,0.508894006874429,0.5382397960724324,0.7217391304347827,8048
2019,baseline_formula,hist_gbdt,0.2906237544334552,0.41086710184722397,0.6832298136645962,8048
2019,linear_fe_ridge,random_forest,0.8128480360788447,0.8931800761594664,0.8683229813664596,8048
2019,linear_fe_ridge,hist_gbdt,0.6462037702681646,0.7851227793136909,0.7565217391304347,8048
2019,random_forest,hist_gbdt,0.5891597451016798,0.901632810124916,0.8409937888198757,8048
