,0
n_total,7812.0
n_female,522.0
female_pct,6.7
bivariate_female_coef,-0.5274
bivariate_female_se,0.3827
bivariate_female_p,0.1682
full_controls_female_coef,-0.5442
full_controls_female_se,0.3801
full_controls_female_p,0.1522
capability_gap_winnable,-0.109
winnable_share_female,21.1
winnable_share_male,15.0
win_rate_female,14.4
win_rate_male,10.7
merge_rate_overall,64.4
merge_rate_female,65.8
merge_rate_male,64.3
single_candidate_pct,4.5
