spec_id,controls,year_filter,party_filter,seat_filter,winnable_threshold,female_coef,female_se,female_p,ci_lower,ci_upper,n
1,minimal,all,all,all,25,0.2122802293154636,0.22385272498875874,0.3429751816709349,-0.22646304950365292,0.6510235081345801,24380
2,minimal,all,all,general,25,0.30587687930611496,0.2513108347422585,0.22355638833001623,-0.18668330571340908,0.798437064325639,19988
3,minimal,all,all,sc,25,0.27272007981843815,0.5958514335107644,0.6471693401923946,-0.8951272699992228,1.440567429636099,3116
4,minimal,all,all,st,25,-0.9282661282750014,0.8764090019203211,0.2895223620619122,-2.645996207765526,0.7894639512155229,1276
5,minimal,all,national,all,25,0.09924303981915097,0.8164896825600109,0.903256656666868,-1.5010473317470117,1.6995334113853138,3636
6,minimal,all,national,general,25,0.013831968745367317,0.9738729342766493,0.9886679844186946,-1.8949239079552085,1.9225878454459433,2750
7,minimal,all,national,sc,25,-0.7569850103885398,2.044244125026976,0.7111584596243731,-4.763629871049008,3.249659850271928,538
8,minimal,all,national,st,25,1.8477128763831576,2.0616948200896243,0.3701402631523498,-2.1931347181052923,5.8885604708716075,348
9,minimal,all,regional,all,25,0.12622265572698335,0.17412909362978762,0.4685257983036386,-0.21506409644800337,0.46750940790197004,20744
10,minimal,all,regional,general,25,0.2532374751143464,0.18435971967459955,0.16956427243903094,-0.10810093564776913,0.614575885876462,17238
11,minimal,all,regional,sc,25,0.37340193844151326,0.5088012673240587,0.46301844603588027,-0.623830220801978,1.3706340976850044,2578
12,minimal,all,regional,st,25,-1.4738786506305068,0.840286154638476,0.07942709455477408,-3.1208092504295744,0.1730519491685607,928
13,minimal,all,independent,all,25,-0.12226636158968317,0.14510326290076445,0.39944312170330876,-0.4066635309144285,0.1621308077350621,12896
14,minimal,all,independent,general,25,0.060981201502370116,0.13592146817101142,0.6536839740526261,-0.20541998083861956,0.3273823838433598,11071
15,minimal,all,independent,sc,25,0.3791030428257439,0.4496962124791019,0.3992170820828763,-0.5022853376173675,1.2604914232688553,1395
16,minimal,all,independent,st,25,-4.162644362244489,1.1296437475761247,0.00022877645521530797,-6.376705422854549,-1.9485833016344283,430
17,minimal,2004,all,all,25,-0.3863833096333935,0.32000887787333043,0.22727261385238795,-1.0135891849981977,0.2408225657314107,5446
18,minimal,2004,all,general,25,-0.41867946591806426,0.3584757156984538,0.24282946162514174,-1.1212789580192535,0.28392002618312484,4484
19,minimal,2004,all,sc,25,0.479265938427898,0.834779337126754,0.565884634276228,-1.1568714973787597,2.115403374234556,703
20,minimal,2004,all,st,25,-1.48153885365351,1.3143727276610897,0.2596650331344492,-4.057662062130919,1.0945843548238987,259
21,minimal,2004,national,all,25,-0.6447997907271088,1.0590543524263738,0.5426272808413088,-2.7205081791531907,1.4309085976989733,851
22,minimal,2004,national,general,25,-0.5569040878364204,1.3165813842173124,0.6723007127603844,-3.1373561836182438,2.0235480079454033,652
23,minimal,2004,national,sc,25,1.9438470330422661,1.7994807470377316,0.28004127014895275,-1.5830704220249197,5.470764488109452,121
24,minimal,2004,regional,all,25,-0.30209755832099555,0.2771209596463432,0.27565638105009516,-0.8452446585890059,0.24104954194701483,4595
25,minimal,2004,regional,general,25,-0.3788722414602012,0.30233192458776875,0.21014511677101277,-0.9714319250289076,0.21368744210850515,3832
26,minimal,2004,regional,sc,25,0.07779793160951137,0.9384242242936128,0.933928882004158,-1.7614797502259074,1.9170756134449303,582
27,minimal,2004,regional,st,25,0.3566093096257918,0.6265527504851569,0.5692469717814451,-0.8714115157396265,1.5846301349912102,181
28,minimal,2004,independent,all,25,-0.17962995591809564,0.10989892040126345,0.10215358070836873,-0.3950278818444062,0.03576797000821491,2389
29,minimal,2004,independent,general,25,-0.13749343629040184,0.11000141279882689,0.21132721035254454,-0.3530922436246259,0.0781053710438222,2068
30,minimal,2004,independent,sc,25,-0.3733027854811573,0.24162421057472455,0.12235289043628185,-0.8468775360005395,0.10027196503822489,262
