review_id,PARL_ROW_ID,MYNETA_ROW_ID,YEAR,PC,parliament_name,parliament_party,myneta_name,myneta_party,match_score,name_score,party_score,review_priority,decision,evidence_reference,reviewer,reviewed_at_utc,notes
34,32,4199,2009,ADILABAD,BANKA SAHADEVU,IND,Banka Sahadev,IND,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
35,67,4557,2009,AGRA,DR. CHANDRAPAL,IND,CHANDRA PAL,IND,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
36,126,8580,2009,AHMEDNAGAR,RAJEEV APPASAHEB RAJALE,IND,RAJIV APPASAHEB RAJALE,IND,0.9400000000000001,0.9333333333333333,1.0,P4,,,,,
37,149,9675,2009,AJMER,SHANTILAL DHABRIA,IND,SHANTILAL DHABARIA,IND,0.9742857142857143,0.9714285714285714,1.0,P2,,,,,
38,200,5025,2009,AKOLA,DIPAK SHRIRAM TIRAKE,RSPS,DIPAK SHRIRAM TIRAKE,RSP,0.9857142857142858,1.0,0.8571428571428571,P1,,,,,
39,211,9970,2009,ALAPPUZHA,SONY J. KALYANKUMAR,IND,Sony J Kalyanakumar,IND,0.9756756756756757,0.972972972972973,1.0,P2,,,,,
40,361,8935,2009,ALWAR,RAM LAL MEENA,IND,Ramlal meena,IND,0.964,0.96,1.0,P3,,,,,
41,487,10507,2009,AMRAVATI,UGALE SUNIL NAMDEV,PRBP,UGLE SUNIL NAMDEV,PRBP,0.9742857142857143,0.9714285714285714,1.0,P2,,,,,
42,500,7766,2009,AMRELI,NILABEN VIRJIBHAI THUMMAR,INC,NILABEN VIRJIBHAI THUMAR,INC,0.9816326530612245,0.9795918367346939,1.0,P1,,,,,
43,506,10593,2009,AMRELI,VALJIBHAI LALUBHAI SHIROYA,IND,VALJIBHAI LALLUBHAI SIROYA,IND,0.9653846153846154,0.9615384615384616,1.0,P3,,,,,
44,509,8902,2009,AMRELI,RAMESHBHAI JASHABHAI PARMAR,IND,RAMESHBHAI JASABHAI PARMAR,IND,0.9830188679245283,0.9811320754716981,1.0,P1,,,,,
45,527,7845,2009,AMRITSAR,OM PARKASH SONI,INC,OM PRAKASH SONI,INC,0.9400000000000001,0.9333333333333333,1.0,P4,,,,,
46,600,6800,2009,ANAND,LEELABEN RAVJIBHAI PARMAR,IND,LILABEN RAVJIBHAI PARMAR,IND,0.9448979591836735,0.9387755102040817,1.0,P4,,,,,
47,636,5848,2009,ANANTAPUR,J C RAMANJULA REDDY,IND,J C RAMANUJULA REDDY,IND,0.9769230769230769,0.9743589743589743,1.0,P2,,,,,
48,750,3773,2009,ARANI,HARIRAJ T.V,SP,ARIRAJ T.V,SP,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
49,754,5205,2009,ARANI,DURAIRAJ M,IND,DURAI RAJ M,IND,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
50,808,3835,2009,ARRAH,ARUN SINGH,CPI(ML)(L),ArunSingh,CPI(ML)(L),0.9526315789473684,0.9473684210526315,1.0,P3,,,,,
51,813,4312,2009,ARRAH,BHARAT BHUSAN PANDEY,ABJS,Bharat Bhushan Pandey,ABJS,0.9780487804878049,0.975609756097561,1.0,P2,,,,,
52,814,8791,2009,ARRAH,RAMADHAR SINGH,SHS,RamadharSingh,SHS,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
53,862,4207,2009,ASANSOL,BANSA GOPAL CHOWDHURY,CPM,BANSAGOPAL CHOWDHURY,CPM,0.9780487804878049,0.975609756097561,1.0,P2,,,,,
54,864,10263,2009,ASANSOL,SURYYA RAY,BJP,SURYA RAY,BJP,0.9526315789473684,0.9473684210526315,1.0,P3,,,,,
55,879,6249,2009,ASKA,KALICHARAN NAYAK,IND,Kali Charan Nayak,IND,0.9727272727272728,0.9696969696969697,1.0,P2,,,,,
56,881,4802,2009,ASKA,DEBASIS MISRA,IND,Debasis Mishra,IND,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
57,893,4133,2009,ATTINGAL,BALACHNDRAN C P,IND,Balachandran C P,IND,0.9709677419354839,0.967741935483871,1.0,P2,,,,,
58,896,5855,2009,ATTINGAL,J VIJAYAKUMAR,IND,J Vijaya Kumar,IND,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
59,924,3767,2009,AURANGABAD,ARCHNA CHANDRA,BSP,Archana Chandra,BSP,0.9689655172413794,0.9655172413793104,1.0,P3,,,,,
60,929,8514,2009,AURANGABAD,RAJENDRA YADAV,IND,RajendraYadav,IND,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
61,989,5104,2009,AZAMGARH,DR. JAVED AKHTAR,IND,DR. JAVED AKHTHAR,IND,0.964,0.96,1.0,P3,,,,,
62,1000,6461,2009,AZAMGARH,KHAIRUL BASHAR,IND,KHAIRUL BASAR,IND,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
63,1050,4196,2009,BAGALKOT,BANDIWADDAR CHANDRASHEKHAR HANAMANT,IND,BANDIWADDAR CHANDRASHEKAR HANAMANT,IND,0.9869565217391305,0.9855072463768116,1.0,P1,,,,,
64,1056,4641,2009,BAGALKOT,CHINCHOLI SANTOSHAKUMAR SAHEBAGOUDA,IND,CHINCHOLLI SANTOSHKUMAR SAHEBGOUDA,IND,0.9608695652173913,0.9565217391304348,1.0,P3,,,,,
65,1146,9992,2009,BALASORE,SRIKANT KUMAR JENA,INC,Srikanta Kumar Jena,INC,0.9756756756756757,0.972972972972973,1.0,P2,,,,,
66,1151,6788,2009,BALASORE,LAXIMIKANTA BEHERA,IND,Laxmikanta Behera,IND,0.9742857142857143,0.9714285714285714,1.0,P2,,,,,
67,1153,9975,2009,BALASORE,SHRADHANJALI PRADHAN,BSP,Sradhanjali Pradhan,BSP,0.9769230769230769,0.9743589743589743,1.0,P2,,,,,
68,1184,8746,2009,BALLIA,RAMSAKAL,SBSP,RAM SAKAL,SBSP,0.9470588235294117,0.9411764705882353,1.0,P4,,,,,
69,1277,10704,2009,BANGALORE CENTRAL,VIJAY RAJA SINGH,BSP,Vijay Raj Singh,BSP,0.9709677419354839,0.967741935483871,1.0,P2,,,,,
70,1299,6864,2009,BANGALORE CENTRAL,M.A. ASWATHANARAYANA SETTY,IND,M.A.Ashwatha Narayana Setty,IND,0.9653846153846154,0.9615384615384616,1.0,P3,,,,,
71,1310,4020,2009,BANGALORE CENTRAL,B.K NARAYANA SWAMY,IND,B.K.Narayanaswamy,IND,0.9742857142857143,0.9714285714285714,1.0,P2,,,,,
72,1336,6358,2009,BANGALORE NORTH,KANYA KUMAR,IND,Kanyakumar,IND,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
73,1339,3670,2009,BANGALORE NORTH,ANCHANA KHANNA,IND,Anchan Khanna,IND,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
74,1347,5583,2009,BANGALORE RURAL,H.D.KUMARASWAMY,JD(S),H D KUMARA SWAMY,JD(S),0.9709677419354839,0.967741935483871,1.0,P2,,,,,
75,1348,4496,2009,BANGALORE RURAL,C. P. YOGEESHWARA,BJP,C P Yogeeshwra,BJP,0.9689655172413794,0.9655172413793104,1.0,P3,,,,,
76,1356,10860,2009,BANGALORE RURAL,Y.CHINNAPPA,IND,Y.Chinnapa,IND,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
77,1374,7494,2009,BANGALORE SOUTH,MURALIDHARA.D.J.,IND,MURALI DHARA.D.J,IND,0.9709677419354839,0.967741935483871,1.0,P2,,,,,
78,1378,9363,2009,BANGALORE SOUTH,SANTOSH MIN.B,IND,Santhosh Min.B,IND,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
79,1382,10083,2009,BANGALORE SOUTH,SUGANDHARAJE URS,IND,SUGANDHA RAJE URS,IND,0.9727272727272728,0.9696969696969697,1.0,P2,,,,,
80,1410,5527,2009,BANKA,GIRIDHARI YADAV,INC,GRIDHARI YADAV,INC,0.9689655172413794,0.9655172413793104,1.0,P3,,,,,
81,1438,3936,2009,BANKURA,ASWINI DULEY,JKP(N),Ashwini Duley,JKP(N),0.964,0.96,1.0,P3,,,,,
82,1558,5431,2009,BARAMULLA,GH NABI PARRAY,RPI,GH NABI PARRAY,RPI(A),0.9750000000000001,1.0,0.75,P2,,,,,
83,1597,3789,2009,BARDOLI,ARJUNBHAI BHALJIBHAI CHAUDHARI,IND,ARJUNBHAI BHALJIBHAI CHAUDHARY,IND,0.97,0.9666666666666667,1.0,P2,,,,,
84,1643,8103,2009,BARMER,POPATRAM,IND,Popat Ram,IND,0.9470588235294117,0.9411764705882353,1.0,P4,,,,,
85,1724,9652,2009,BASTAR,SHANKAR SODI,INC,Shankar Sodhi,INC,0.964,0.96,1.0,P3,,,,,
86,1726,3990,2009,BASTAR,AYTU RAM MANDAVI,BSP,Ayaturam Mandavi,BSP,0.94375,0.9375,1.0,P4,,,,,
87,1777,7152,2009,BEED,MASKE MACHINDRA BABURAO,BSP,MASKE MACHHINDRA BABURAO,BSP,0.9808510638297872,0.9787234042553191,1.0,P1,,,,,
88,1778,6465,2009,BEED,KHALGE KACHARU SANTARAMJI,BBM,KHALGE KACHRU SANTRAMJI,BBM,0.9625,0.9583333333333334,1.0,P3,,,,,
89,1779,6928,2009,BEED,MAHAMMAD AKRAM MAHAMMAD SALIMUDDIN BAGWAN,IND,MAHAMMAD AKARAM MAHAMMAD SALIMUDDIN BAGWAN,IND,0.9891566265060241,0.9879518072289156,1.0,P1,,,,,
