,0
n_full_candidates,12128.0
residual_mean,-0.9477482735592959
residual_sd,6.83582098015315
residual_median,-0.27070829441443844
residual_iqr_low,-1.0851194489518146
residual_iqr_high,0.12298452358709888
residual_skew,-0.8611402946610995
residual_kurtosis,12.727750428670893
calibration_intercept,0.1544056047969838
calibration_slope,0.8846023290389167
calibration_r2,0.8223813152138706
breusch_pagan_lm_p,2.862928565378116e-299
breusch_pagan_f_p,0.0
max_leverage,0.0015531261614449717
n_high_leverage_2p_over_n,1442.0
max_cooks_distance,0.016307744778706754
n_cooks_gt_4_over_n,1151.0
variance_total_vote_share,243.86808375852135
variance_expected,256.2902255148179
variance_residual,46.72844847270196
