Year,Gender,N,Vote_Share_Mean,Capability_Mean,Capability_SD,Winnable_Pct,Winner_Pct,Incumbent_Pct
2004,Female,359,14.136545961002785,-0.3422862091788365,5.916757719848554,21.72701949860724,13.09192200557103,9.192200557103064
2004,Male,5087,9.728409671712207,0.02415583823377274,5.123707395930769,13.563986632592883,9.828975820719482,7.587969333595439
2009,Female,436,10.576651376146788,-2.315590695530474,9.334024842990775,19.26605504587156,13.073394495412844,7.339449541284404
2009,Male,6201,7.439359780680536,-1.6329824803221948,7.836898769386753,13.255926463473633,7.676181261086922,5.2410901467505235
2014,Female,490,11.672122448979593,-2.10987784545617,11.712771034858363,21.836734693877553,12.857142857142856,10.0
2014,Male,5752,7.712969401947149,-1.3666799624435366,8.94028450266936,13.160639777468708,7.979833101529903,5.945757997218359
2019,Female,513,13.29074074074074,1.03712765263994,9.099202233837325,16.764132553606238,15.009746588693956,8.187134502923977
2019,Male,5542,8.027006495849873,0.4842158564232191,7.190589112785939,10.267051605918441,8.264164561530134,5.178635871526525
