iteration,female_coef,female_se,female_p,winnable_gap
0,-1.167828886402746,0.39512975530820976,0.0031210406718323786,-2.9927290657773105
1,-1.0561978452090244,0.4226205241525783,0.01244868144959697,-1.1791426544906969
2,-0.33694380055143414,0.3660368648990727,0.3573017347848837,1.1671847358897072
3,-0.496764551711819,0.3922100180130188,0.20530624898563488,-0.38765319066335646
4,-0.509073501517657,0.37132635558193383,0.17038749191995095,2.312284162482371
5,-1.0236576848676502,0.3735494373272834,0.006137304721188277,-0.8046240621991538
6,-0.7140666737753554,0.36880928545532476,0.05285046904556278,0.043572385543455106
7,-0.6035613625113401,0.3757647360423172,0.1082252717528747,-0.32695707029601184
8,-0.292568132722702,0.3546015619340899,0.40933661814973876,1.1357851280511646
9,-0.4947690914428813,0.37403574579859167,0.1859066935316963,-0.5771066614285099
10,-0.2400969900616524,0.37739769525441524,0.5246519852737991,-0.15992568564102694
11,-0.557840525560576,0.4055440437707173,0.16896526115193589,-0.1984610738023438
12,-0.607959379532431,0.37133016159768434,0.10157876528174371,-0.7225294696607643
13,-0.3454993911582498,0.3521601591985043,0.3265503488173622,1.0651520608051008
14,0.15946324820884236,0.34472344617706946,0.6436632083557919,1.3965182406281618
15,-0.17303976900891957,0.40901836187270985,0.6722506634718465,-0.5298156359207828
16,-0.7638762970063016,0.39747813197000886,0.054630034337177884,-1.8497400301128888
17,-0.36903743028061997,0.4000067090147053,0.3562271118617263,-0.31380833301375777
18,-0.22407342397062519,0.35822551461256674,0.531636785950006,1.3419377286314615
19,-0.7826398901401566,0.3588009894351521,0.02916385250897317,-1.2048180211917998
20,-0.2695916213031836,0.4177181935935467,0.5186737433553672,0.2732105426555922
21,-0.47719657174520347,0.36588974746934616,0.19216245312793334,-0.8277140533453169
22,-0.14117199389302867,0.3729377555408288,0.7050292141166123,1.6925335487363444
23,-0.6458244112318641,0.36557910688514567,0.07729874297361097,-0.7896469075254
24,-0.2800387947377243,0.3888005672229255,0.47136287246861197,-1.2642381335771153
25,-0.10560162253241459,0.40916176454014436,0.7963354445804751,0.9294027592029677
26,-1.0775583048386843,0.3945134636728533,0.006307352719981505,-2.1748965803823594
27,-0.5515395558665557,0.4015533458682508,0.16959229201114434,-0.6871300829860907
28,-0.6831189506100328,0.3898667442205829,0.07974187446986347,0.9213113704438984
29,-1.0285523836456427,0.3676056828849781,0.0051423714605113805,-0.1947366461059996
30,-0.7281511574167294,0.3779005889553707,0.054000500909830745,-1.355779504941217
31,-0.7083577461918996,0.375380781234152,0.059155233553686216,-1.1244042976671338
32,-0.6761664739664145,0.3839547134779856,0.07822860694633292,-0.4423073424062931
33,-0.2327313230984883,0.40583440071197857,0.566330727064829,1.636788544245785
34,0.2948621669212822,0.3977068969937174,0.4584474794510002,-0.022754119474573287
35,-1.0157541308179832,0.3905066718483409,0.009292034930719043,-2.63166585207531
36,-1.228283980970457,0.38550868356400886,0.0014418565479077726,-2.1602521467402207
37,-0.12237503821180518,0.3702281093785367,0.7409923024151311,1.0895721710827568
38,-0.9438689900185384,0.431045256555129,0.02854445359275798,-3.0303820565721518
39,0.21070435667311557,0.33794845792207723,0.5329686509554727,2.282683515598261
40,-0.7342085108097973,0.37126284640245366,0.047974121216116605,-0.18573674799733375
41,-0.399100322155873,0.37632088834864813,0.2889026667099426,-0.17006935449023608
42,-0.6709461941701371,0.3926686781697717,0.08750973237299021,-0.23706977340746072
43,-0.11549045446227232,0.3507082502607054,0.7419241435373898,0.42000788975700853
44,-0.6841396841637474,0.36015082909577634,0.057486664507531045,0.004427089791967376
45,-0.7614531015340387,0.3713911622796396,0.040337842709167356,0.12137250523884457
46,-0.6157410858222141,0.3649406756593901,0.09155796063536184,-0.22412718367563045
47,-0.43170748444852275,0.3890213248608438,0.2671166659903873,-0.07412027903060547
48,0.15705197973058826,0.3733912363539294,0.6740401019622673,1.5072334703833032
49,-0.2996877171524419,0.35250032567195055,0.39522661166038486,1.430671868015955
50,-0.6053298844245304,0.3796886533901858,0.11087341884954241,-1.0082822745001527
51,-0.2280005910255853,0.3766493399059131,0.5449536738770455,-1.1881125296320842
52,-0.5157829772264393,0.3754156585943735,0.16947322267781062,-0.35224789890692865
53,0.02250673673090046,0.3620283074636689,0.9504286915254503,0.781975515419604
54,-0.5921030798759203,0.3612207303347153,0.1011773437914565,-0.9817246110038758
55,-0.4038309668782767,0.4036439975598803,0.3170863963993946,0.16229504391642724
56,-0.07280468266894052,0.33119098935845315,0.8260059825603655,2.6159369189790023
57,-0.3395231217832971,0.3570573682672231,0.34165902307314244,0.6817460523211594
58,-0.07110593516871344,0.3765710062071267,0.8502301542166346,0.0960305973198583
59,-1.1667446869282405,0.3831799032213379,0.002327572837122581,-1.6193417751137869
60,-0.26644407400565573,0.3570502932566317,0.45552437194396833,0.948863974446708
61,0.0809925852214729,0.3440278857981946,0.8138792896828633,2.6898159484796986
62,-0.26036780855463576,0.3802541218607516,0.4935202836567144,-0.11202761345610224
63,-0.748471577624247,0.3920735821327616,0.056261068630561704,-1.1024754608848637
64,-0.8593410185451047,0.44772835200934713,0.05494186030521334,-0.923716093097271
65,-0.6225848039235783,0.37663136143912956,0.09832375067703765,0.06238798971897719
