test_year,model,train_n,test_n,rmse,mae,r2,pearson_r_pred_vs_actual,spearman_r_pred_vs_actual,residual_mean,residual_sd
2004,baseline_formula,58384,5446,8.974291970800339,4.926935449787634,0.7165688517923614,0.8652402125608836,0.70121697856804,-1.8003011287188353,8.792669000473524
2004,linear_fe_ridge,58384,5446,10.00807922439427,6.179544505878084,0.6475084944413629,0.8216567522525903,0.6725099349340853,-1.1471364460685338,9.94303179222537
2004,random_forest,58384,5446,7.960918196018138,4.938045507135602,0.7769647491113887,0.8846260503065081,0.7029632501982273,-0.6408402280845398,7.935811631167937
2004,hist_gbdt,58384,5446,8.124446176316518,4.640059086538762,0.7677077512674375,0.8764079932569769,0.6981542985538258,-0.3094101628381359,8.11929774486887
2009,baseline_formula,64291,8086,8.82744143542111,4.663323027829245,0.585140797045449,0.8313990582404029,0.6347878054418357,-2.733520123472531,8.394063610332577
2009,linear_fe_ridge,64291,8086,8.38772960996387,5.124378215274085,0.6254413055777801,0.8072656869371131,0.5445363664429932,-1.0031158653890326,8.3280456234995
2009,random_forest,64291,8086,6.830778337866505,3.966241547201182,0.7515886564925799,0.8710336332279786,0.6206714341683636,-1.1306704328931205,6.73696742420066
2009,hist_gbdt,64291,8086,6.8853237836171015,3.939483762874136,0.7476055653535498,0.8692633521795174,0.5878740956503762,-1.1746314276354792,6.7848078540869805
2014,baseline_formula,72438,8251,9.659198021518439,5.139889678577942,0.521544085224634,0.7776476334203333,0.6733998648490259,-2.455705385852121,9.342387040379688
2014,linear_fe_ridge,72438,8251,8.741632915912655,5.129532635770853,0.6081273809980857,0.7948181140590475,0.5601413837719195,-1.4013030694692818,8.629108893101431
2014,random_forest,72438,8251,7.445569486086803,4.374643597345834,0.7157138966239911,0.8615395223492475,0.671251920025094,-2.1559835421709037,7.127018737756386
2014,hist_gbdt,72438,8251,8.68053366704828,6.462268316460706,0.6135861890293111,0.8643896177838439,0.6071579943360162,-4.939380032310406,7.138652947621349
2019,baseline_formula,80742,8048,7.344408210329515,3.602120868645088,0.773780362134407,0.8812143252113448,0.5919948070017096,-0.8107405136645477,7.2999762504578705
2019,linear_fe_ridge,80742,8048,8.45844229016273,4.3860260894245915,0.6999473483456881,0.841722899550253,0.46332565927838154,0.6779028806172117,8.431757081031215
2019,random_forest,80742,8048,7.445040775020581,4.3317107513131905,0.7675385998774789,0.8855056421845382,0.5645410338770339,-0.93099500241728,7.387060365761052
2019,hist_gbdt,80742,8048,8.339506629847588,5.532474084527201,0.7083262102431647,0.8716328200699,0.4289478761553823,-3.403142456222856,7.614013112729195
